"Source:","C:\Projects\BANO_Working\Git_from_20230827\NoiseResearch_TPS40211_Core\Main_PCB_003.kicad_sch"
"Date:","08.09.2023 19:29:18"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","33"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, C4, C5, C8, C9, C11, C30, ","9","C","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"C12, ","1","C","C","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Unpolarized capacitor",""
"C13, ","1","C","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"D1, D8, D10, D17, ","4","WireHole_1p5","WireHole_1p5","libraries:WireHole_1p2","",""
"D6, ","1","Wire_Pad_01","Wire_Pad_01","Wire_holes:WireHole_1p5","",""
"D12, ","1","SS36","SS36","libraries:SODFL4626X120N","Rectifier Diode, Schottky, 60 Volt, DO-214AB / SMC",""
"IC1, ","1","TPS40211QDGQRQ1","TPS40211QDGQRQ1-TPS40211QDGQRQ1","libraries:SOP50P490X110-11N","",""
"L2, ","1","SRP7050AA-220M","SRP7050AA-220M","libraries:INDPM5752X300N","Shielded Power Inductor 22uH",""
"Q1, ","1","AON7407","AON7407","libraries:DFN_3X3_EP","MOSFET P-CH 20V 14.5A 8DFN",""
"R1, R2, R3, R4, R6, R7, R8, R11, R12, ","9","R","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor",""
"U2, U3, U4, U5, ","4","Mounting_Hole_M2","Mounting_Hole_M2","Wire_holes:WireHole_1p5","",""
